Company,Business Entity Name,Domain,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Founded Year,Status,Bank Ruptcy Status,Tagline,Verification
Algoworks,"ALGOWORKS SOLUTIONS, INC.",Mobile	App Development,http://www.algoworks.com/?utm_source=clutch.co&utm_medium=referral,"Sunnyvale, CA",8772841028,4.9,73 reviews,$25 - $49 / hr,"$10,000+",250 - 999,2006,Active,No,Go Mobile. Go Cloud. Go Digital.,GOLD VERIFIED
Hyperlink InfoSystem,Hyperlink InfoSystem,Mobile	App Development,https://www.hyperlinkinfosystem.com/,"Ahmedabad, India",+91.8000.161.161,4.8,122 reviews,< $25 / hr,"$10,000+",250 - 999,2011,Active,,Best Android & iPhone App Development Services,GOLD VERIFIED
Mercury Development,MERCURY DEVELOPMENT LLC,Mobile	App Development,https://mercurydevelopment.com?utm_source=clutch,"Aventura, FL",917.470.1404,5.0,23 reviews,$50 - $99 / hr,"$25,000+",50 - 249,1999,Active,No,Developing the Future,GOLD VERIFIED
The NineHertz,NINE HERTZ INDIA PRIVATE LIMITED,Mobile	App Development,https://theninehertz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch,"Cincinnati, OH",+13153814100,4.8,94 reviews,< $25 / hr,"$5,000+",50 - 249,2008,Active,,Mobile App and Web Development Company,GOLD VERIFIED
Sidebench,SIDEBENCH STUDIOS LLC,Mobile	App  Development,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral,"Santa Monica, CA",310-893-3589,4.9,42 reviews,$150 - $199 / hr,"$50,000+",50 - 249,2012,Active,No,"Top Product, Technology, & Venture Design Firm",GOLD VERIFIED
Blue Label Labs,Blue Label Solutions LLC,Mobile	App Development,https://www.bluelabellabs.com,"New York, NY",2078905983,4.8,50 reviews,$100 - $149 / hr,"$75,000+",50 - 249,2009,Active,No,"Strategy, design & development of digital products",GOLD VERIFIED
Netguru,NETGURU SPÓŁKA AKCYJNA,Mobile	App Development,https://www.netguru.com/services/?utm_source=clutch&utm_medium=referral,"Poznań, Poland",442038713389,4.8,41 reviews,$50 - $99 / hr,"$25,000+",250 - 999,2008,Active,,Building digital solutions for world changers,GOLD VERIFIED
Naked.,"Naked Apps, LLC.",Mobile	App Development,http://app.nakeddev.com/application?utm_source=Clutch&utm_medium=Direct&utm_campaign=Naked%20Profile%20Link,"Irvine, CA",(949) 214-4003,4.9,24 reviews,$100 - $149 / hr,"$25,000+",10 - 49,2013,Active,No,Creative Development Agency,SILVER VERIFIED
MobiDev,MobiDev Corporation,Mobile	App Development,https://mobidev.biz?utm_source=clutch&utm_medium=profile,"Norcross, GA",+18883800276,5.0,13 reviews,$50 - $99 / hr,"$10,000+",250 - 999,2009,Active,No,Web and Mobile development. AI apps 🚀,BRONZE VERIFIED
S-PRO,S-PRO LLC,Mobile	App Development,https://s-pro.io/?utm_source=referral&utm_medium=clutch,"Warszawa, Poland",+1 888 208 0054,4.9,39 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2014,Active,,Long-Term Mobile Development Partner,GOLD VERIFIED
Appinventiv,Appinventiv Technologies Pvt Ltd,Mobile	App Development,https://appinventiv.com/?source=clutch,"Manhattan, NY",+1 646-585-0501,4.8,74 reviews,$25 - $49 / hr,"$50,000+",250 - 999,2014,Active,,Transforming Digital Experiences with NextGen Tech,GOLD VERIFIED
"Confianz Global, Inc",Confianz Global Inc,Mobile	App Development,https://www.confianzit.com/mobile-app-development/?utm_source=clutch.co&utm_medium=referral,"Charlotte, NC",7042154622,4.8,37 reviews,$25 - $49 / hr,"$5,000+",50 - 249,2008,Active,No,We Develop High Quality Software Solutions,GOLD VERIFIED
Cheesecake Labs,Cheesecake Labs Software S/A,Mobile	App Development,https://cheesecakelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch-profile,"San Francisco, CA",4156916007,4.9,40 reviews,$50 - $99 / hr,"$50,000+",50 - 249,2013,Active,,We Build Delightful Digital Experiences ⭐️⭐️⭐️⭐️⭐️,GOLD VERIFIED
Geniusee,LLC ''GENIUSEE'',Mobile	App Development,https://geniusee.com/?utm_source=clutch.co&utm_medium=referral,"Warszawa, Poland",+1 512 394 8852,5.0,40 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2017,Active,,Metric-driven partner focused on the clients’ win,GOLD VERIFIED
Tapptitude,Tapptitude Tech SA,Mobile	App Development,https://tapptitude.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Cluj-Napoca, Romania",+40743142383,5.0,48 reviews,$50 - $99 / hr,"$50,000+",50 - 249,2013,Active,,A Product Studio for Positive Impact at Scale,GOLD VERIFIED
itCraft,itCraft Sp. z o.o,Mobile	App Development,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,"Warszawa, Poland",+1 646 630 9053,5.0,56 reviews,$50 - $99 / hr,"$50,000+",50 - 249,2010,Active,,Build products with agile teams you can trust,GOLD VERIFIED
Quytech,Quy Technology Private Limited,Mobile	App Development,https://www.quytech.com/?utm_source=clutch&utm_medium=referral,"Gurugram, India",+1-2134932650,4.7,48 reviews,< $25 / hr,"$10,000+",50 - 249,2010,Active,,"Mobile Apps, AI, Games, AR/VR, Blockchain Company",SILVER VERIFIED
